"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
140,40,"KHM","Cambodia",21,"Siemréab",140,"Banteay Srei","KH.SI.BS",NA,"","Srok","District","",""
141,40,"KHM","Cambodia",21,"Siemréab",141,"Chi Kraeng","KH.SI.CK",NA,"","Srok","District","",""
142,40,"KHM","Cambodia",21,"Siemréab",142,"Kralanh","KH.SI.KL",NA,"","Srok","District","",""
143,40,"KHM","Cambodia",21,"Siemréab",143,"Prasat Bakong","KH.SI.PB",NA,"","Srok","District","",""
144,40,"KHM","Cambodia",21,"Siemréab",144,"Puok","KH.SI.PK",NA,"","Srok","District","",""
145,40,"KHM","Cambodia",21,"Siemréab",145,"Siem Reab","KH.SI.SR",NA,"","Srok","District","",""
146,40,"KHM","Cambodia",21,"Siemréab",146,"Soutr Nikom","KH.SI.SN",NA,"","Srok","District","",""
147,40,"KHM","Cambodia",21,"Siemréab",147,"Srei Snam","KH.SI.SS",NA,"","Srok","District","",""
148,40,"KHM","Cambodia",21,"Siemréab",148,"Svay Leu","KH.SI.SL",NA,"","Srok","District","",""
149,40,"KHM","Cambodia",21,"Siemréab",149,"Varin","KH.SI.VR",NA,"","Srok","District","",""
150,40,"KHM","Cambodia",22,"Stœng Trêng",150,"Sesan","KH.ST.SS",NA,"","Srok","District","",""
151,40,"KHM","Cambodia",22,"Stœng Trêng",151,"Siem Bouk","KH.ST.SB",NA,"","Srok","District","",""
152,40,"KHM","Cambodia",22,"Stœng Trêng",152,"Siem Pang","KH.ST.SP",NA,"","Srok","District","",""
153,40,"KHM","Cambodia",22,"Stœng Trêng",153,"Stueng Traeng","KH.ST.ST",NA,"","Srok","District","",""
154,40,"KHM","Cambodia",22,"Stœng Trêng",154,"Thala Barivat","KH.ST.TB",NA,"","Srok","District","",""
155,40,"KHM","Cambodia",23,"Svay Rieng",155,"Chantrea","KH.SR.CT",NA,"","Srok","District","",""
156,40,"KHM","Cambodia",23,"Svay Rieng",156,"Kampong Rou","KH.SR.KR",NA,"","Srok","District","",""
157,40,"KHM","Cambodia",23,"Svay Rieng",157,"Romeas Haek","KH.SR.RH",NA,"","Srok","District","",""
158,40,"KHM","Cambodia",23,"Svay Rieng",158,"Rumduol","KH.SR.RD",NA,"","Srok","District","",""
159,40,"KHM","Cambodia",23,"Svay Rieng",159,"Svay Chrum","KH.SR.SC",NA,"","Srok","District","",""
160,40,"KHM","Cambodia",23,"Svay Rieng",160,"Svay Rieng","KH.SR.SR",NA,"","Srok","District","",""
161,40,"KHM","Cambodia",23,"Svay Rieng",161,"Svay Teab","KH.SR.ST",NA,"","Srok","District","",""
162,40,"KHM","Cambodia",24,"Takêv",162,"Angkor Borei","KH.TA.AB",NA,"","Srok","District","",""
163,40,"KHM","Cambodia",24,"Takêv",163,"Bati","KH.TA.BT",NA,"","Srok","District","",""
164,40,"KHM","Cambodia",24,"Takêv",164,"Bourei Cholsar","KH.TA.BC",NA,"","Srok","District","",""
165,40,"KHM","Cambodia",24,"Takêv",165,"Doun Kaev","KH.TA.DK",NA,"","Srok","District","",""
166,40,"KHM","Cambodia",24,"Takêv",166,"Kaoh Andaet","KH.TA.KA",NA,"","Srok","District","",""
167,40,"KHM","Cambodia",24,"Takêv",167,"Kiri Vong","KH.TA.KV",NA,"","Srok","District","",""
168,40,"KHM","Cambodia",24,"Takêv",168,"Prey Kabbas","KH.TA.PK",NA,"","Srok","District","",""
169,40,"KHM","Cambodia",24,"Takêv",169,"Samraong","KH.OC.SR",NA,"","Srok","District","",""
170,40,"KHM","Cambodia",24,"Takêv",170,"Tram Kak","KH.TA.TK",NA,"","Srok","District","",""
171,40,"KHM","Cambodia",24,"Takêv",171,"Treang","KH.TA.TG",NA,"","Srok","District","",""
172,40,"KHM","Cambodia",25,"Tbong Khmum",172,"Dambae","KH.KM.DB",NA,"","Srok","District","",""
173,40,"KHM","Cambodia",25,"Tbong Khmum",173,"Kampong Siem","KH.KM.KS",NA,"","Srok","District","",""
174,40,"KHM","Cambodia",25,"Tbong Khmum",174,"Krouch Chhmar","KH.KM.KC",NA,"","Srok","District","",""
175,40,"KHM","Cambodia",25,"Tbong Khmum",175,"Memot","KH.KM.MM",NA,"","Srok","District","",""
176,40,"KHM","Cambodia",25,"Tbong Khmum",176,"Ou Reang Ov","KH.KM.OR",NA,"","Srok","District","",""
177,40,"KHM","Cambodia",25,"Tbong Khmum",177,"Ponhea Kraek","KH.KM.PK",NA,"","Srok","District","",""
178,40,"KHM","Cambodia",25,"Tbong Khmum",178,"Tboung Khmum","KH.KM.TK",NA,"","Srok","District","",""
